subject,interactionTypeName,object
meiofauna,eats,detritus
Bacteria,eats,detritus
Dero,eats,detritus
Tubificidae,eats,detritus
Physa,eats,detritus
Helisoma,eats,detritus
Hyalella,eats,detritus
Simocephalus,eats,detritus
Cyzicus californicus,eats,detritus
Callibaetis,eats,detritus
Hydrophilus,eats,detritus
Tropisternus,eats,detritus
Hesperocorixa,eats,detritus
Hesperocorixa,eats,detritus
Chironomidae,eats,detritus
Ceratopogonidae,eats,detritus
Ephydridae,eats,detritus
Anaxyrus boreas,eats,detritus
Pseudiacris regilla,eats,detritus
Rana draytonii,eats,detritus
meiofauna,eats,carrion
Bacteria,eats,carrion
Dero,eats,carrion
Erpobdella,eats,carrion
Hydrophilus,eats,carrion
Tropisternus,eats,carrion
Gerridae,eats,carrion
Gerridae,eats,carrion
Hesperocorixa,eats,carrion
Hesperocorixa,eats,carrion
Chironomidae,eats,carrion
Ephydridae,eats,carrion
Anaxyrus boreas,eats,carrion
Pseudiacris regilla,eats,carrion
Rana draytonii,eats,carrion
Spermophilus beecheyi,eats,carrion
Canis latrans,eats,carrion
zooplankton,preysOn,phytoplankton
Diaptomidae,preysOn,phytoplankton
Simocephalus,preysOn,phytoplankton
Cyzicus californicus,preysOn,phytoplankton
Anaxyrus boreas,preysOn,phytoplankton
Pseudiacris regilla,preysOn,phytoplankton
Rana draytonii,preysOn,phytoplankton
zooplankton,preysOn,benthic microalgae/periphyton
meiofauna,preysOn,benthic microalgae/periphyton
Dero,preysOn,benthic microalgae/periphyton
Physa,preysOn,benthic microalgae/periphyton
Helisoma,preysOn,benthic microalgae/periphyton
Hyalella,preysOn,benthic microalgae/periphyton
Callibaetis,preysOn,benthic microalgae/periphyton
Haliplus,preysOn,benthic microalgae/periphyton
Haliplus,preysOn,benthic microalgae/periphyton
Hydrophilus,preysOn,benthic microalgae/periphyton
Tropisternus,preysOn,benthic microalgae/periphyton
Chironomidae,preysOn,benthic microalgae/periphyton
Ceratopogonidae,preysOn,benthic microalgae/periphyton
Ephydridae,preysOn,benthic microalgae/periphyton
Anaxyrus boreas,preysOn,benthic microalgae/periphyton
Pseudiacris regilla,preysOn,benthic microalgae/periphyton
Rana draytonii,preysOn,benthic microalgae/periphyton
Fulica americana,preysOn,benthic microalgae/periphyton
Physa,preysOn,Plantae
Helisoma,preysOn,Plantae
Callibaetis,preysOn,Plantae
Haliplus,preysOn,Plantae
Haliplus,preysOn,Plantae
Hydrophilus,preysOn,Plantae
Tropisternus,preysOn,Plantae
Ephydridae,preysOn,Plantae
Tachycineta bicolor,preysOn,Plantae
Agelaius phoeniceus,preysOn,Plantae
Fulica americana,preysOn,Plantae
Canis latrans,preysOn,Plantae
zooplankton,preysOn,zooplankton
meiofauna,preysOn,zooplankton
Macrocyclops,preysOn,zooplankton
Diaptomidae,preysOn,zooplankton
Simocephalus,preysOn,zooplankton
Cyzicus californicus,preysOn,zooplankton
Tropisternus,preysOn,zooplankton
Notonecta,preysOn,zooplankton
Notonecta,preysOn,zooplankton
Tramea,preysOn,zooplankton
Coenagrion,preysOn,zooplankton
Lestes,preysOn,zooplankton
Anax junius,preysOn,zooplankton
Taricha torosa,preysOn,zooplankton
Taricha torosa,preysOn,zooplankton
Fulica americana,preysOn,zooplankton
Halipegus,parasiteOf,zooplankton
zooplankton,preysOn,meiofauna
meiofauna,preysOn,meiofauna
Dero,preysOn,meiofauna
Erpobdella,preysOn,meiofauna
Macrocyclops,preysOn,meiofauna
Hydrophilus,preysOn,meiofauna
Hydrophilus,preysOn,meiofauna
Tropisternus,preysOn,meiofauna
Tropisternus,preysOn,meiofauna
Chironomidae,preysOn,meiofauna
Ceratopogonidae,preysOn,meiofauna
Tramea,preysOn,meiofauna
Coenagrion,preysOn,meiofauna
Lestes,preysOn,meiofauna
Anax junius,preysOn,meiofauna
Taricha torosa,preysOn,meiofauna
Taricha torosa,preysOn,meiofauna
Fulica americana,preysOn,meiofauna
zooplankton,preysOn,Bacteria
meiofauna,preysOn,Bacteria
Dero,preysOn,Bacteria
Tubificidae,preysOn,Bacteria
Physa,preysOn,Bacteria
Helisoma,preysOn,Bacteria
Hyalella,preysOn,Bacteria
Simocephalus,preysOn,Bacteria
Cyzicus californicus,preysOn,Bacteria
Chironomidae,preysOn,Bacteria
Ceratopogonidae,preysOn,Bacteria
Ephydridae,preysOn,Bacteria
Anaxyrus boreas,preysOn,Bacteria
Pseudiacris regilla,preysOn,Bacteria
